,strAccount,strText,DateTime,fltCompound,fltPositive,fltNeutral,fltNegative,hrsApart,TweetsAgo,Color
99,@BBC,"🐠 In the final episode of #BluePlanet2, David Attenborough explored some of the issues facing life in the oceans.… https://t.co/LGXeb4XRnH",2017-12-12 13:00:05,0.0,0.0,1.0,0.0,0,100.0,red
98,@BBC,"🍪 @Nigella_Lawson's 'forgotten cookies' recipe is one to remember this Christmas. 
Full recipe here 👉… https://t.co/Ti9tNmAlsb",2017-12-12 13:30:04,-0.2263,0.0,0.881,0.119,0.49972222222222223,99.0,red
97,@BBC,New research suggests that #ManFlu is a real thing. 😷 https://t.co/zMM12bFOCy,2017-12-12 14:00:05,0.0,0.0,1.0,0.0,0.5002777777777778,98.0,red
96,@BBC,🥇 @BBCOne has announced a new Saturday night game show to launch in the run up to Sport Relief 2018.… https://t.co/26UoAkfV8d,2017-12-12 14:30:09,0.4767,0.147,0.853,0.0,0.5011111111111111,97.0,red
95,@BBC,"🐋🐙 #BluePlanet2 has become @BBCiPlayer’s most popular programme of the year so far, with 4.2 million requests for t… https://t.co/m9bcExK8fz",2017-12-12 15:00:10,0.4754,0.14,0.86,0.0,0.5002777777777778,96.0,red
94,@BBC,"RT @BBCOne: #TheApprentice. Emoji style.
😁😰🙄☺️😠😏🤗 https://t.co/wVHbF7LKIZ",2017-12-12 15:04:37,0.0,0.0,1.0,0.0,0.07416666666666667,95.0,red
93,@BBC,RT @BBCiPlayer: 🎿 Planning a ski holiday? @ClaudiaWinkle has a special message for you 😂 https://t.co/9bgFssqWxj,2017-12-12 15:05:52,0.6597,0.351,0.649,0.0,0.020833333333333332,94.0,red
92,@BBC,The eight party season commandments that'll help you survive all the festivities. 😫🎄 https://t.co/2syg9lMOae https://t.co/44WFAPi0HB,2017-12-12 15:34:04,0.8176,0.415,0.585,0.0,0.47,93.0,red
91,@BBC,"RT @bbc5live: ""Tom gave the ultimate gift"" 

Lisa donated her son's organs after he died two years ago. https://t.co/DfvkAgRnoF",2017-12-12 16:07:17,-0.1779,0.123,0.723,0.153,0.5536111111111112,92.0,red
90,@BBC,😍📸 Your pictures of beautiful Scotland from last week. Via @BBCScotland. https://t.co/oCDu9gmx6j,2017-12-12 16:30:01,0.5994,0.262,0.738,0.0,0.3788888888888889,91.0,red
89,@BBC,National treasures @Dawn_French &amp; Jennifer Saunders (@ferrifrump) are back together this festive season with a spec… https://t.co/7zRCfpqGN7,2017-12-12 16:58:17,0.743,0.31,0.69,0.0,0.4711111111111111,90.0,red
88,@BBC,"Vinny Singh breaks down the questions that a Sikh gets asked. 
Via @BBCTheSocial. https://t.co/TzDifjETu6",2017-12-12 17:30:05,0.0,0.0,1.0,0.0,0.53,89.0,red
87,@BBC,"🎅🎄 Some of the best Christmas world records: Instadogs, Susan Boyle and surfing Santas. https://t.co/MKT10qhvmL https://t.co/PdthEWx1ew",2017-12-12 18:00:07,0.6369,0.219,0.781,0.0,0.5005555555555555,88.0,red
86,@BBC,"Will we get a white Christmas? 🌨🎄
We actually get snow on Christmas Day more often than you might think - but it de… https://t.co/6Yyu2Uuux0",2017-12-12 18:30:05,0.0,0.0,1.0,0.0,0.49944444444444447,87.0,red
85,@BBC,"In the 3rd episode of @TWBBC Live, we explore how today’s scientific research &amp; technology is changing how we care… https://t.co/4zopZ7DvfC",2017-12-12 19:00:03,0.0,0.0,1.0,0.0,0.49944444444444447,86.0,red
84,@BBC,"RT @BBCSpringwatch: 10 glorious photos of British wildlife in the snow
https://t.co/Ap7kaHaozX https://t.co/hEeEvk6hSN",2017-12-12 19:16:42,0.6369,0.259,0.741,0.0,0.2775,85.0,red
83,@BBC,RT @BBC6Music: ✂️ ✂️ Scissors at the ready... Make your own @NoelGallagher Christmas decoration to put on your high-flying sleigh ahead of…,2017-12-12 19:17:56,0.0,0.0,1.0,0.0,0.020555555555555556,84.0,red
